,Price,Picture Url,Neighbourhood,Zipcode,Latitude,Room Type,Accommodates,Bathrooms,Bedrooms,Guests Included,Availability 30,Bath_for_Beedrooms
3307831,1.7781512503836436,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/8b2424e056ceb5336d5894d64add6bdd,43.583333333333336,44.95189003436426,40.39754688613032,87.57165453970262,6,2.0,2.0,1,5,4.0
17756474,1.6020599913279625,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/5c925184eb26d2b1ce73edc224283639,33.77777777777778,46.91666666666666,40.37916112558929,87.57165453970262,4,1.0,1.0,1,16,1.0
356344,2.3324384599156054,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/07a6ee943a414c77a85ecfe979d7c462,70.37463976945244,75.94586894586895,40.4211319573156,87.57165453970262,7,2.0,3.0,4,11,6.0
14599465,1.380211241711606,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/8cbf78592ead6a816cf3ef0c039de97c,55.431654676258994,61.13333333333333,40.437090637127326,34.60482283464567,1,1.0,1.0,1,6,1.0
1307795,1.6334684555795866,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/b3a440473fc9c1962b5eebb3ae82e2e5,78.22241379310344,82.9808362369338,40.41993567963151,34.60482283464567,2,1.0,1.0,1,1,1.0
4397381,1.99563519459755,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/5301b24bed55bbffac0cec972fa18918,84.61260053619303,82.9808362369338,40.41959283952104,87.57165453970262,6,1.0,1.0,2,15,1.0
1039454,1.9542425094393248,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/d615989aa8ac6a5fcea4b19d61a3280f,80.30864197530865,80.17692307692307,40.41797615523668,87.57165453970262,5,1.0,1.0,4,12,1.0
9837654,1.3979400086720375,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/9f38a2e071acf536ccc34aa430028d7f,31.875,33.333333333333336,40.39285880557499,87.57165453970262,2,1.0,1.0,1,19,1.0
2350055,2.161368002234975,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/931dfea9fa98d5cca327933dbde1bdca,83.11206896551724,66.13808463251671,40.41450627259104,87.57165453970262,6,2.0,2.0,4,5,4.0
14261333,1.3010299956639813,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/558dfc3c756ab523f88a7fa343c3311d,47.64429530201343,48.67692307692308,40.43051980877407,34.60482283464567,1,1.5,1.0,1,0,1.5
12101328,1.845098040014257,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/35ee31b50d6a8ea997ecebd4edfa735e,72.12084592145015,64.63533834586467,40.4058911938078,87.57165453970262,5,1.0,3.0,2,0,3.0
6085244,1.4771212547196624,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/9a2fa6551d7d1daca784feae5c2ea263,52.16216216216216,66.67619047619047,40.43186410387223,34.60482283464567,1,1.0,1.0,1,15,1.0
8355342,1.5440680443502757,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/8a1c2abf5dadfebe924cef33f97dd0bb,58.769572953736656,66.13808463251671,40.40919520827208,34.60482283464567,2,1.0,1.0,1,16,1.0
7188834,1.662757831681574,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/f00aa44e9990a3d15cbc587d3132c066,92.01754385964912,104.21428571428572,40.45730355577866,34.60482283464567,1,1.0,1.0,1,0,1.0
8739811,2.143014800254095,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/6c0d999072d7709305d7d267d9870c1c,52.16216216216216,61.13333333333333,40.43198763423252,87.57165453970262,4,2.0,3.0,1,8,6.0
16701167,1.505149978319906,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/6791bfe40f235b2a4b8563f8a405cec9,47.66666666666666,46.583333333333336,40.46244354469042,34.60482283464567,2,1.0,1.0,1,18,1.0
16484263,1.8976270912904412,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/6d08f130059bbf5d45f06dd2de89ca1c,70.37463976945244,75.94586894586895,40.4247834227433,87.57165453970262,6,1.0,3.0,2,10,3.0
13666757,1.6989700043360187,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/ccbf374f07c817f179f94a64f2114d2d,55.431654676258994,61.13333333333333,40.43057766427608,87.57165453970262,2,1.0,0.0,1,6,0.0
586726,1.9030899869919435,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/5158dd4c3ef3c0a577b57a618e38b66e,64.5813953488372,59.108108108108105,40.42460374210358,87.57165453970262,5,1.0,2.0,1,0,2.0
15637914,2.431363764158988,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/c10001c534350f80cea4f30851930aa4,78.22241379310344,82.9808362369338,40.41750734860413,87.57165453970262,7,3.0,4.0,5,15,12.0
17870505,1.99563519459755,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/96cf7fc3e261871698f18c459a8d4f56,78.22241379310344,82.9808362369338,40.41618750356087,87.57165453970262,4,1.0,1.0,2,12,1.0
2091911,2.008600171761917,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/230f19ddbb4c02271daf521f5e4bac8e,78.22241379310344,81.46255506607929,40.41537897834949,87.57165453970262,6,2.0,2.0,1,5,4.0
15309861,2.3010299956639813,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/3dc22fa365c79f08eb17fdade4659c4e,79.08307692307692,75.94586894586895,40.4234776730976,87.57165453970262,4,2.0,2.0,1,0,4.0
1408400,1.869231719730976,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/91919db6f612a9100362a2083f1fe4ef,78.22241379310344,82.9808362369338,40.41595309515621,87.57165453970262,3,1.0,1.0,2,6,1.0
12822799,1.6532125137753435,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/57911083cce651b0534b5a97ed5530fc,29.975,44.95189003436426,40.39159421778399,87.57165453970262,4,1.0,2.0,2,8,2.0
10556191,2.255272505103306,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/2dbb0482794488c19bba78d4f1f06ccd,84.61260053619303,68.47654320987654,40.414999514989056,87.57165453970262,16,6.0,10.0,8,2,60.0
509011,1.3010299956639813,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/374fcae25df5b4bf952ed0479509690a,33.8125,30.55555555555556,40.408242977864056,34.60482283464567,3,1.0,1.0,1,0,1.0
399096,2.071882007306125,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/96ff4e51e6d1f3f7e7f02f55764f6ce9,72.12084592145015,69.16028368794326,40.411182432920754,87.57165453970262,6,2.0,2.0,2,8,4.0
6474285,1.977723605288848,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/22c8edc9b956ac975a9ff8bc95c0d6c5,78.22241379310344,82.9808362369338,40.421485579246365,34.60482283464567,1,1.0,1.0,1,0,1.0
17638103,1.0791812460476249,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/704aa5e8bf432c951494eabee0d8ac32,72.12084592145015,68.47654320987654,40.41012106413902,34.60482283464567,1,1.0,1.0,1,3,1.0
16838525,1.8129133566428557,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/bea599055c4e50802adfa341670700cb,83.11206896551724,82.5814606741573,40.41141394940877,87.57165453970262,4,1.0,1.0,2,5,1.0
12355841,1.6989700043360187,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/88a17b111f099dba7a8b02f0d4210ddb,81.464,77.14957264957265,40.43735390835946,87.57165453970262,3,1.0,1.0,2,4,1.0
171612,2.008600171761917,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/ba4845b4aa712f0972d63b20b61121dd,84.61260053619303,82.9808362369338,40.419769277890666,87.57165453970262,6,1.0,2.0,1,14,2.0
832102,1.7781512503836436,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/8a2eb2f5a2708fc770d6f771cb093f44,81.464,77.14957264957265,40.43610586359537,87.57165453970262,4,1.0,1.0,2,30,1.0
3154076,1.4471580313422192,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/35e5509a08f5f82deb1cd08113779b6b,72.12084592145015,69.16028368794326,40.40833262795184,34.60482283464567,2,1.0,1.0,1,3,1.0
11856434,1.9138138523837167,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/0b780f7febb87e1f0198e117c232439f,84.61260053619303,82.5814606741573,40.41769996111308,87.57165453970262,4,1.0,0.0,2,6,0.0
6570519,1.6232492903979006,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/8e66080679913027e2b08beeb70d35ab,58.769572953736656,68.47654320987654,40.41114213878316,87.57165453970262,2,1.0,1.0,2,8,1.0
8607022,1.9542425094393248,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/3f98ba34e59c4b74dd170aad509f729c,65.80434782608695,59.016129032258064,40.40413506189281,87.57165453970262,3,1.0,1.0,1,0,1.0
13198264,1.9294189257142929,https://public.opendatasoft.com/api/v2/catalog/datasets/airbnb-listings/files/15de808c6c1a14d51a58ca41c81d7604,64.5813953488372,66.67619047619047,40.42209340155601,87.57165453970262,4,1.0,1.0,2,0,1.0
